,school,school,sex,sex,age,age,address,address,famsize,famsize,Pstatus,Pstatus,Medu,Medu,Fedu,Fedu,Mjob,Mjob,Fjob,Fjob,reason,reason,guardian,guardian,traveltime,traveltime,studytime,studytime,failures,failures,schoolsup,schoolsup,famsup,famsup,paid,paid,activities,activities,nursery,nursery,higher,higher,internet,internet,romantic,romantic,famrel,famrel,freetime,freetime,goout,goout,Dalc,Dalc,Walc,Walc,health,health,absences,absences,G1,G1,G2,G2,G3,G3
76,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,other,other,other,other,reputation,reputation,mother,mother,1,1,1,1,0,0,no,False,no,False,no,False,yes,True,no,False,yes,True,yes,True,no,False,5,5,3,3,4,4,1,1,2,2,1,1,6,6,11,11,14,14,14,14
77,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,services,services,services,services,reputation,reputation,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,3,3,2,2,3,3,1,1,2,2,2,2,6,6,13,13,14,14,14,14
78,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,services,services,home,home,mother,mother,1,1,3,3,0,0,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,no,False,5,5,3,3,2,2,1,1,1,1,5,5,0,0,13,13,13,13,14,14
79,GP,GP,F,F,16,16,U,U,LE3,LE3,A,A,3,3,3,3,other,other,services,services,home,home,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,2,2,3,3,5,5,1,1,4,4,3,3,12,12,11,11,12,12,11,11
80,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,1,1,1,1,at_home,at_home,at_home,at_home,course,course,mother,mother,1,1,1,1,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,3,3,4,4,4,4,3,3,3,3,1,1,2,2,14,14,14,14,13,13
81,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,1,1,2,2,other,other,services,services,reputation,reputation,father,father,1,1,2,2,0,0,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,4,4,3,3,1,1,1,1,1,1,4,4,8,8,10,10,9,9
82,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,at_home,at_home,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,no,False,no,False,4,4,3,3,4,4,1,1,2,2,2,2,4,4,8,8,7,7,6,6
83,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,other,other,at_home,at_home,course,course,father,father,2,2,2,2,1,1,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,2,2,2,2,5,5,14,14,10,10,10,10,9,9
84,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,other,other,other,other,home,home,mother,mother,2,2,2,2,1,1,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,yes,True,3,3,3,3,3,3,1,1,2,2,3,3,25,25,7,7,10,10,11,11
85,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,services,services,services,services,course,course,mother,mother,3,3,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,2,2,3,3,4,4,2,2,12,12,13,13,13,13
86,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,4,4,other,other,health,health,course,course,father,father,2,2,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,2,2,2,2,1,1,2,2,5,5,2,2,13,13,13,13,13,13
87,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,3,3,1,1,other,other,other,other,home,home,father,father,1,1,2,2,0,0,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,no,False,3,3,3,3,3,3,2,2,3,3,2,2,4,4,7,7,6,6,6,6
88,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,3,3,3,3,other,other,other,other,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,4,4,5,5,1,1,1,1,4,4,4,4,10,10,11,11,9,9
89,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,4,4,3,3,teacher,teacher,services,services,course,course,mother,mother,3,3,2,2,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,no,False,5,5,4,4,3,3,1,1,2,2,1,1,2,2,16,16,15,15,15,15
90,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,4,4,4,4,health,health,health,health,other,other,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,5,5,4,4,5,5,1,1,1,1,4,4,4,4,14,14,15,15,16,16
91,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,4,4,4,4,teacher,teacher,teacher,teacher,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,5,5,2,2,1,1,2,2,3,3,0,0,9,9,9,9,10,10
92,GP,GP,F,F,17,17,R,R,GT3,GT3,A,A,3,3,2,2,other,other,other,other,home,home,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,2,2,3,3,2,2,4,4,9,9,10,10,10,10
93,GP,GP,F,F,17,17,R,R,GT3,GT3,T,T,2,2,1,1,at_home,at_home,services,services,course,course,mother,mother,3,3,2,2,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,no,False,2,2,1,1,1,1,1,1,1,1,3,3,2,2,13,13,11,11,11,11
94,GP,GP,F,F,17,17,R,R,GT3,GT3,T,T,2,2,1,1,at_home,at_home,services,services,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,2,2,5,5,1,1,2,2,5,5,2,2,6,6,6,6,6,6
95,GP,GP,F,F,17,17,R,R,GT3,GT3,T,T,2,2,2,2,other,other,other,other,reputation,reputation,mother,mother,1,1,1,1,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,5,5,3,3,2,2,1,1,2,2,3,3,18,18,7,7,6,6,6,6
96,GP,GP,F,F,17,17,R,R,GT3,GT3,T,T,2,2,4,4,at_home,at_home,other,other,course,course,father,father,1,1,3,3,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,4,4,4,4,3,3,1,1,1,1,5,5,7,7,12,12,14,14,14,14
97,GP,GP,F,F,17,17,R,R,GT3,GT3,T,T,3,3,4,4,at_home,at_home,services,services,course,course,father,father,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,no,False,4,4,3,3,4,4,2,2,5,5,5,5,0,0,11,11,11,11,10,10
98,GP,GP,F,F,17,17,R,R,GT3,GT3,T,T,4,4,3,3,teacher,teacher,other,other,reputation,reputation,mother,mother,2,2,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,4,4,2,2,1,1,1,1,4,4,6,6,7,7,7,7,7,7
99,GP,GP,F,F,17,17,R,R,LE3,LE3,T,T,2,2,2,2,services,services,services,services,course,course,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,3,3,3,3,2,2,2,2,2,2,3,3,3,3,11,11,11,11,11,11
100,GP,GP,F,F,17,17,R,R,LE3,LE3,T,T,3,3,1,1,services,services,other,other,reputation,reputation,mother,mother,2,2,4,4,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,no,False,3,3,1,1,2,2,1,1,1,1,3,3,6,6,18,18,18,18,18,18
101,GP,GP,F,F,17,17,R,R,LE3,LE3,T,T,4,4,4,4,services,services,other,other,other,other,mother,mother,1,1,1,1,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,no,False,5,5,2,2,1,1,1,1,2,2,3,3,12,12,8,8,10,10,10,10
102,GP,GP,F,F,17,17,U,U,GT3,GT3,A,A,2,2,1,1,other,other,other,other,course,course,mother,mother,2,2,3,3,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,3,3,2,2,3,3,1,1,2,2,3,3,10,10,12,12,10,10,12,12
103,GP,GP,F,F,17,17,U,U,GT3,GT3,A,A,2,2,2,2,at_home,at_home,at_home,at_home,home,home,father,father,1,1,2,2,1,1,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,3,3,3,3,1,1,1,1,2,2,4,4,0,0,9,9,8,8,0,0
104,GP,GP,F,F,17,17,U,U,GT3,GT3,A,A,3,3,3,3,health,health,other,other,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,no,False,yes,True,yes,True,yes,True,3,3,3,3,3,3,1,1,3,3,3,3,6,6,8,8,7,7,9,9
105,GP,GP,F,F,17,17,U,U,GT3,GT3,A,A,4,4,3,3,services,services,services,services,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,5,5,2,2,2,2,1,1,2,2,5,5,23,23,13,13,13,13,13,13
106,GP,GP,F,F,17,17,U,U,GT3,GT3,A,A,4,4,4,4,other,other,teacher,teacher,home,home,mother,mother,2,2,2,2,0,0,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,no,False,4,4,1,1,4,4,1,1,1,1,1,1,6,6,6,6,5,5,6,6
107,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,1,1,1,1,at_home,at_home,other,other,course,course,father,father,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,no,False,yes,True,yes,True,no,False,5,5,3,3,3,3,1,1,1,1,3,3,4,4,5,5,5,5,6,6
108,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,1,1,1,1,at_home,at_home,other,other,reputation,reputation,mother,mother,1,1,3,3,1,1,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,yes,True,4,4,3,3,4,4,1,1,1,1,5,5,0,0,6,6,5,5,0,0
109,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,1,1,1,1,at_home,at_home,services,services,course,course,mother,mother,1,1,2,2,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,5,5,3,3,3,3,1,1,1,1,3,3,0,0,8,8,8,8,9,9
110,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,1,1,1,1,other,other,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,no,False,yes,True,no,False,no,False,4,4,4,4,4,4,1,1,3,3,1,1,4,4,9,9,9,9,10,10
111,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,1,1,1,1,services,services,teacher,teacher,reputation,reputation,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,1,1,3,3,6,6,13,13,12,12,12,12
112,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,2,2,2,2,at_home,at_home,at_home,at_home,course,course,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,1,1,4,4,4,4,9,9,10,10,10,10
113,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,2,2,2,2,other,other,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,no,False,yes,True,yes,True,no,False,5,5,4,4,5,5,1,1,2,2,5,5,4,4,10,10,9,9,11,11
114,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,2,2,2,2,other,other,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,no,False,yes,True,4,4,2,2,2,2,1,1,1,1,3,3,12,12,11,11,9,9,9,9
115,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,2,2,3,3,at_home,at_home,other,other,home,home,father,father,2,2,1,1,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,no,False,3,3,3,3,3,3,1,1,4,4,3,3,3,3,7,7,7,7,8,8
116,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,2,2,4,4,at_home,at_home,health,health,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,3,3,3,3,1,1,1,1,1,1,2,2,10,10,10,10,10,10
117,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,2,2,4,4,services,services,services,services,reputation,reputation,father,father,1,1,2,2,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,no,False,5,5,4,4,2,2,2,2,3,3,5,5,0,0,16,16,17,17,17,17
118,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,1,1,services,services,services,services,course,course,father,father,1,1,3,3,0,0,no,False,yes,True,no,False,no,False,no,False,yes,True,yes,True,no,False,3,3,4,4,3,3,2,2,3,3,5,5,1,1,12,12,14,14,15,15
119,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,2,2,health,health,health,health,reputation,reputation,father,father,1,1,4,4,0,0,no,False,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,no,False,5,5,2,2,2,2,1,1,2,2,5,5,0,0,17,17,17,17,18,18
120,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,2,2,other,other,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,no,False,no,False,yes,True,no,False,yes,True,yes,True,no,False,5,5,3,3,4,4,1,1,3,3,3,3,10,10,16,16,15,15,15,15
121,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,2,2,other,other,other,other,home,home,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,3,3,2,2,2,2,3,3,2,2,0,0,7,7,8,8,0,0
122,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,3,3,other,other,other,other,home,home,mother,mother,1,1,3,3,0,0,no,False,no,False,no,False,yes,True,no,False,yes,True,no,False,no,False,3,3,2,2,3,3,1,1,1,1,4,4,4,4,10,10,9,9,9,9
123,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,4,4,at_home,at_home,services,services,home,home,mother,mother,1,1,3,3,1,1,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,4,4,3,3,3,3,4,4,5,5,28,28,10,10,9,9,9,9
124,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,3,3,4,4,services,services,other,other,course,course,mother,mother,1,1,3,3,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,4,4,4,4,5,5,1,1,3,3,5,5,16,16,16,16,15,15,15,15
125,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,2,2,other,other,other,other,reputation,reputation,mother,mother,2,2,3,3,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,1,1,3,3,0,0,15,15,12,12,14,14
126,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,3,3,health,health,other,other,reputation,reputation,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,4,4,3,3,1,1,3,3,4,4,0,0,13,13,15,15,15,15
127,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,3,3,health,health,services,services,reputation,reputation,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,2,2,2,2,1,1,2,2,3,3,0,0,15,15,15,15,15,15
128,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,3,3,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,2,2,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,3,3,4,4,5,5,2,2,4,4,1,1,22,22,6,6,6,6,4,4
129,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,4,4,other,other,teacher,teacher,course,course,mother,mother,1,1,1,1,0,0,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,yes,True,4,4,2,2,1,1,1,1,1,1,4,4,0,0,11,11,11,11,12,12
130,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,4,4,services,services,teacher,teacher,home,home,mother,mother,2,2,1,1,1,1,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,4,4,2,2,4,4,2,2,3,3,2,2,24,24,18,18,18,18,18,18
131,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,services,services,course,course,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,5,5,4,4,4,4,1,1,3,3,4,4,7,7,10,10,9,9,9,9
132,GP,GP,F,F,17,17,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,teacher,teacher,course,course,mother,mother,2,2,3,3,0,0,no,False,yes,True,yes,True,no,False,no,False,yes,True,yes,True,yes,True,4,4,3,3,3,3,1,1,2,2,4,4,4,4,14,14,14,14,14,14
133,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,0,0,2,2,at_home,at_home,at_home,at_home,home,home,father,father,2,2,3,3,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,3,3,3,3,3,3,2,2,3,3,2,2,0,0,16,16,15,15,15,15
134,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,2,2,2,2,other,other,other,other,course,course,father,father,1,1,1,1,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,3,3,4,4,4,4,1,1,3,3,5,5,12,12,10,10,13,13,12,12
135,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,2,2,2,2,services,services,other,other,course,course,mother,mother,2,2,2,2,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,4,4,4,4,2,2,3,3,5,5,6,6,12,12,12,12,12,12
136,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,2,2,2,2,services,services,services,services,course,course,father,father,1,1,4,4,0,0,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,3,3,4,4,1,1,1,1,1,1,2,2,0,0,10,10,9,9,0,0
137,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,2,2,4,4,services,services,services,services,course,course,father,father,1,1,2,2,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,3,3,2,2,1,1,1,1,5,5,0,0,14,14,15,15,15,15
138,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,3,3,2,2,other,other,other,other,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,4,4,4,4,1,1,3,3,1,1,2,2,14,14,15,15,15,15
139,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,3,3,3,3,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,5,5,3,3,3,3,2,2,3,3,1,1,56,56,9,9,9,9,8,8
140,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,4,4,2,2,teacher,teacher,services,services,reputation,reputation,mother,mother,1,1,4,4,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,2,2,3,3,1,1,1,1,4,4,6,6,14,14,12,12,13,13
141,GP,GP,F,F,17,17,U,U,LE3,LE3,T,T,4,4,3,3,health,health,other,other,reputation,reputation,father,father,1,1,2,2,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,3,3,2,2,3,3,1,1,2,2,3,3,14,14,13,13,13,13,14,14
142,GP,GP,F,F,18,18,R,R,GT3,GT3,A,A,3,3,2,2,other,other,services,services,home,home,mother,mother,2,2,2,2,0,0,no,False,no,False,no,False,no,False,no,False,no,False,yes,True,yes,True,4,4,1,1,1,1,1,1,1,1,5,5,75,75,10,10,9,9,9,9
143,GP,GP,F,F,18,18,R,R,GT3,GT3,T,T,1,1,1,1,at_home,at_home,other,other,course,course,mother,mother,3,3,1,1,3,3,no,False,yes,True,no,False,yes,True,no,False,yes,True,no,False,no,False,5,5,2,2,5,5,1,1,5,5,4,4,6,6,9,9,8,8,10,10
144,GP,GP,F,F,18,18,R,R,GT3,GT3,T,T,2,2,1,1,other,other,other,other,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,no,False,yes,True,yes,True,4,4,3,3,5,5,1,1,2,2,3,3,0,0,6,6,0,0,0,0
145,GP,GP,F,F,18,18,R,R,GT3,GT3,T,T,2,2,2,2,at_home,at_home,other,other,course,course,mother,mother,2,2,4,4,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,no,False,4,4,4,4,4,4,1,1,1,1,4,4,0,0,10,10,9,9,0,0
146,GP,GP,F,F,18,18,R,R,GT3,GT3,T,T,3,3,1,1,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,1,1,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,5,5,3,3,3,3,1,1,1,1,4,4,16,16,9,9,8,8,7,7
147,GP,GP,F,F,18,18,R,R,GT3,GT3,T,T,4,4,4,4,teacher,teacher,other,other,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,4,4,2,2,2,2,4,4,8,8,12,12,10,10,11,11
148,GP,GP,F,F,18,18,R,R,LE3,LE3,T,T,1,1,1,1,at_home,at_home,other,other,reputation,reputation,mother,mother,2,2,4,4,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,no,False,5,5,2,2,2,2,1,1,1,1,3,3,1,1,12,12,12,12,12,12
149,GP,GP,F,F,18,18,U,U,GT3,GT3,A,A,4,4,4,4,at_home,at_home,teacher,teacher,course,course,mother,mother,2,2,2,2,0,0,yes,True,no,False,no,False,no,False,yes,True,yes,True,no,False,no,False,4,4,3,3,4,4,1,1,1,1,3,3,6,6,5,5,6,6,6,6
150,GP,GP,F,F,18,18,U,U,GT3,GT3,T,T,1,1,1,1,other,other,other,other,home,home,mother,mother,2,2,2,2,0,0,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,5,5,4,4,4,4,1,1,1,1,4,4,4,4,8,8,9,9,10,10
151,GP,GP,F,F,18,18,U,U,GT3,GT3,T,T,2,2,1,1,other,other,other,other,course,course,other,other,2,2,3,3,0,0,no,False,yes,True,yes,True,no,False,no,False,yes,True,yes,True,yes,True,4,4,4,4,4,4,1,1,1,1,3,3,0,0,7,7,0,0,0,0
152,GP,GP,F,F,18,18,U,U,GT3,GT3,T,T,2,2,1,1,services,services,other,other,course,course,mother,mother,2,2,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,5,5,3,3,3,3,1,1,2,2,1,1,0,0,8,8,8,8,0,0
153,GP,GP,F,F,18,18,U,U,GT3,GT3,T,T,2,2,2,2,at_home,at_home,at_home,at_home,other,other,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,2,2,2,2,5,5,18,18,18,18,19,19
154,GP,GP,F,F,18,18,U,U,GT3,GT3,T,T,2,2,2,2,at_home,at_home,services,services,home,home,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,3,3,3,3,1,1,1,1,3,3,0,0,9,9,10,10,0,0
